Sale-Key,City-Key,Customer Key,Bill To Customer Key,Stock Item Key,Invoice Date Key,Delivery Date Key,Salesperson Key,WWI Invoice ID,Description,Package,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Profit,Total Including Tax,Total Dry Items,Total Chiller Items,Lineage Key
200446,112229,0,0,197,1/7/2016,1/8/2016,158,61829,DBA joke mug - it depends (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
201839,107721,0,0,195,1/15/2016,1/16/2016,161,62263,DBA joke mug - I will get you in order (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
207176,107623,0,0,167,2/16/2016,2/17/2016,143,63950,IT joke mug - keyboard not found … press F1 to continue (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
207182,113033,0,0,201,2/16/2016,2/17/2016,152,63951,DBA joke mug - daaaaaa-ta (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
208857,109634,0,0,197,2/24/2016,2/25/2016,163,64481,DBA joke mug - it depends (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
210989,112381,0,0,180,3/4/2016,3/5/2016,161,65158,"Developer joke mug - (hip, hip, array) (White)",Each,5,13,15,65,9.75,42.5,74.75,5,0,11
211956,113033,0,0,173,3/11/2016,3/12/2016,155,65465,Developer joke mug - a foo walks into a bar (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
212293,72610,0,0,199,3/14/2016,3/15/2016,19,65566,DBA joke mug - you might be a DBA if (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
213068,111992,0,0,190,3/18/2016,3/19/2016,167,65815,Developer joke mug - Oct 31 = Dec 25 (White),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
214196,72646,0,0,202,3/23/2016,3/24/2016,167,66149,DBA joke mug - daaaaaa-ta (White),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
215498,72125,0,0,199,3/30/2016,3/31/2016,165,66556,DBA joke mug - you might be a DBA if (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
217402,108294,0,0,163,4/8/2016,4/9/2016,158,67151,IT joke mug - hardware: part of the computer that can be kicked (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
217589,111992,0,0,180,4/11/2016,4/12/2016,170,67212,"Developer joke mug - (hip, hip, array) (White)",Each,5,13,15,65,9.75,42.5,74.75,5,0,11
217897,108137,0,0,202,4/12/2016,4/13/2016,165,67309,DBA joke mug - daaaaaa-ta (White),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
218162,112167,0,0,190,4/13/2016,4/14/2016,165,67398,Developer joke mug - Oct 31 = Dec 25 (White),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
220615,72894,0,0,171,4/26/2016,4/27/2016,163,68163,Developer joke mug - this code was generated by a tool (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
222717,108294,0,0,195,5/5/2016,5/6/2016,168,68811,DBA joke mug - I will get you in order (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
223272,112167,0,0,174,5/6/2016,5/7/2016,168,68976,Developer joke mug - a foo walks into a bar (White),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
225228,72125,0,0,188,5/17/2016,5/18/2016,165,69576,Developer joke mug - that's a hardware problem (White),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
226821,115533,0,0,185,5/25/2016,5/26/2016,19,70066,Developer joke mug - fun was unexpected at this time (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
227569,108137,0,0,167,5/27/2016,5/28/2016,174,70297,IT joke mug - keyboard not found … press F1 to continue (Black),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
202179,72646,0,0,168,1/16/2016,1/17/2016,155,62364,IT joke mug - keyboard not found … press F1 to continue (White),Each,8,13,15,104,15.6,68,119.6,8,0,11
203016,112081,0,0,165,1/21/2016,1/22/2016,163,62628,IT joke mug - that behavior is by design (Black),Each,8,13,15,104,15.6,68,119.6,8,0,11
205534,112381,0,0,192,2/4/2016,2/5/2016,163,63418,DBA joke mug - two types of DBAs (White),Each,8,13,15,104,15.6,68,119.6,8,0,11
206373,112063,0,0,164,2/11/2016,2/12/2016,151,63700,IT joke mug - hardware: part of the computer that can be kicked (White),Each,8,13,15,104,15.6,68,119.6,8,0,11
210514,72709,0,0,192,3/2/2016,3/3/2016,152,65007,DBA joke mug - two types of DBAs (White),Each,8,13,15,104,15.6,68,119.6,8,0,11
211655,72646,0,0,193,3/9/2016,3/10/2016,161,65369,DBA joke mug - SELECT caffeine FROM mug (Black),Each,8,13,15,104,15.6,68,119.6,8,0,11
214941,112229,0,0,203,3/28/2016,3/29/2016,171,66382,DBA joke mug - mind if I join you? (Black),Each,8,13,15,104,15.6,68,119.6,8,0,11
